Label,Chapter,Question,Answer,Hint,Counter-example/Negation,Tags
thm:monotonicity,Bounding,State Monotonicity of Supremum and Infimum.,"If $A\subseteq B$ (nonempty, bounded): $\sup A\le\sup B$ and $\inf B\le\inf A$.",Every upper bound of $B$ is also an upper bound of $A$.,$A\subseteq B$ does not force strict inequality: equality is possible.,LRA::Bounding
thm:monotonicity-functions,Bounding,State Monotonicity of Supremum for functions.,If $A\subseteq B\subseteq X$: $\sup_{A}f\le\sup_{B}f$ and $\inf_{B}f\le\inf_{A}f$.,Restricting the domain can only shrink or preserve extrema.,,LRA::Bounding
cor:diam-monotone,Bounding,State Diameter Monotonicity.,"In metric space $(X,d)$: $A\subseteq B\Rightarrow\operatorname{diam}(A)\le\operatorname{diam}(B)$.",Diameter = supremum of distances; monotonicity of sup applies.,,LRA::Bounding
thm:neg-rule,Bounding,State the Negation Rule for sup/inf.,For nonempty bounded $A\subseteq\mathbb{R}$: $\sup(-A)=-\inf A$ and $\inf(-A)=-\sup A$.,Negation flips the order; the new least upper bound is the negation of the old greatest lower bound.,,LRA::Bounding
thm:sup-add,Bounding,State Additivity of Supremum.,"$\sup(A+B)=\sup A+\sup B$ for nonempty bounded $A,B\subseteq\mathbb{R}$.",Show $\sup A+\sup B$ is an upper bound; use $\varepsilon$-characterisation to show tightness.,,LRA::Bounding
thm:inf-add,Bounding,State Additivity of Infimum.,"$\inf(A+B)=\inf A+\inf B$ for nonempty bounded $A,B\subseteq\mathbb{R}$.",Negate: $\inf(A+B)=-\sup(-(A+B))=-(\sup(-A)+\sup(-B))=\inf A+\inf B$.,,LRA::Bounding
thm:scale-pos,Bounding,State scalar multiplication for sup/inf ($c>0$).,For $c>0$: $\sup(cA)=c\sup A$ and $\inf(cA)=c\inf A$.,Scaling by $c>0$ preserves order; extrema scale by $c$.,,LRA::Bounding
thm:scale-neg,Bounding,State scalar multiplication for sup/inf ($c<0$).,For $c<0$: $\sup(cA)=c\inf A$ and $\inf(cA)=c\sup A$.,Scaling by $c<0$ reverses order; sup and inf swap roles.,,LRA::Bounding
thm:sup-diff,Bounding,State the Supremum of a Difference.,$\sup(A - B) = \sup A - \inf B$ and $\inf(A-B) = \inf A - \sup B$.,$A - B = A + (-B)$; apply additivity then negation rule.,"Common error: $\sup(A-B) = \sup A - \sup B$. To maximise $a - b$, minimise $b$, so $\inf B$, not $\sup B$.",LRA::Bounding
prop:sup-unique,Bounding,State uniqueness of supremum and infimum.,If $\sup A$ exists it is unique; if $\inf A$ exists it is unique.,"If $s,s\'$ are both suprema: $s\le s\'$ and $s\'\le s$, so $s=s\'$.",,LRA::Bounding
prop:eps-char,Bounding,State the $\varepsilon$-characterisation of supremum.,"$s=\sup A$ iff: (i) $s$ is an upper bound of $A$; and (ii) $\forall\varepsilon>0\,\exists a\in A: a>s-\varepsilon$.",The $\varepsilon$-test replaces abstract least-ness with a constructive approximation condition.,,LRA::Bounding
cor:eps-approx,Bounding,State the $\varepsilon$-Approximation Corollary.,"If $s = \sup A$, then $\forall \varepsilon > 0\; \exists a \in A$: $s - \varepsilon < a \leq s$.",Direct restatement of the $\varepsilon$-characterization with the upper bound condition made explicit.,,LRA::Bounding
thm:nested-interval-property,Bounding,State the Nested Interval Property.,"If $[a_1,b_1]\supseteq[a_2,b_2]\supseteq\cdots$ are nonempty closed intervals, then $\bigcap_{n=1}^\infty[a_n,b_n]\neq\varnothing$.",$(a_n)$ is increasing and bounded above; $s=\sup\{a_n\}$ lies in every interval.,"Fails for open intervals: $\bigcap_n(0,1/n)=\varnothing$.",LRA::Bounding
thm:archimedean-property,Bounding,State the Archimedean Property.,"For any $x\in\mathbb{R}$ there exists $n\in\mathbb{N}$ with $n>x$. Equivalently, $\mathbb{N}$ is unbounded in $\mathbb{R}$.","If $\mathbb{N}$ were bounded, $\sup\mathbb{N}$ would exist; but $\sup\mathbb{N}-1$ is not an upper bound, contradiction.",,LRA::Bounding
lem:floor-lemma,Bounding,State the Floor Lemma.,For every $x\in\mathbb{R}$ there is a unique $m\in\mathbb{Z}$ with $m\le x<m+1$.,Existence from Archimedean; uniqueness since two consecutive integers cannot both satisfy the condition.,,LRA::Bounding
thm:density-of-rationals,Bounding,State density of $\mathbb{Q}$ in $\mathbb{R}$.,$\mathbb{Q}$ is dense in $\mathbb{R}$: for any $a<b$ there exists $q\in\mathbb{Q}$ with $a<q<b$.,Use Archimedean to find $n$ with $1/n<b-a$; then $m=\lfloor na\rfloor+1$ gives the numerator $q=m/n$.,,LRA::Bounding
thm:existence-of-square-roots,Bounding,State the Existence and Uniqueness of Square Roots.,"$\forall a \geq 0\; \exists!\, x \geq 0$: $x^2 = a$.",Existence: let $S = \{t \geq 0 : t^2 \leq a\}$; show $x = \sup S$ satisfies $x^2 = a$ by ruling out $x^2 < a$ and $x^2 > a$ via $\varepsilon$-characterization.,$\mathbb{Q}$ fails: $\{r \in \mathbb{Q} : r^2 < 2\}$ is bounded but has no rational supremum.,LRA::Bounding
