Front,Back,Tags
x^5-3x^2+1,power rule plus sum and difference rules,derivatives rule-identification
7x^4,constant multiple rule plus power rule,derivatives rule-identification
4x^3-9x+2,constant multiple rule plus sum and difference rules,derivatives rule-identification
\sqrt{x}+x^{-2},power rule plus sum rule,derivatives rule-identification
\frac{1}{x}+5x^6,reciprocal rule plus power rule,derivatives rule-identification
x^2\sin x,product rule,derivatives rule-identification
e^x\cos x,product rule,derivatives rule-identification
(x^3+1)\ln x,product rule,derivatives rule-identification
\sqrt{x}\tan x,product rule plus elementary derivatives,derivatives rule-identification
x^2e^x\sin x,repeated product rule,derivatives rule-identification
\frac{x^2+1}{x-1},quotient rule,derivatives rule-identification
\frac{\sin x}{x^2+1},quotient rule,derivatives rule-identification
\frac{e^x}{\ln x},quotient rule,derivatives rule-identification
\frac{\sqrt{x}}{1+x},quotient rule plus elementary derivatives,derivatives rule-identification
\frac{x^3-2x}{\cos x},quotient rule plus sum and difference rules,derivatives rule-identification
(3x^2-5x+1)^7,chain rule plus power rule,derivatives rule-identification
\sqrt{1+x^4},chain rule plus square-root rule,derivatives rule-identification
\frac{1}{(x^2+1)^3},reciprocal rule plus chain rule,derivatives rule-identification
(5-2x)^{-4},chain rule plus power rule,derivatives rule-identification
\left(\frac{x^2+1}{x-2}\right)^5,chain rule plus quotient rule,derivatives rule-identification
e^{x^2}\cos x,product rule plus chain rule,derivatives rule-identification
x^2\sin(x^3),product rule plus chain rule,derivatives rule-identification
\ln(x^2+1)\tan x,product rule plus chain rule,derivatives rule-identification
"\sqrt{1+x^2}\,e^x",product rule plus chain rule,derivatives rule-identification
(x^2+1)^4\cos(3x),product rule plus chain rule,derivatives rule-identification
\frac{\sin(x^2)}{1+x^2},quotient rule plus chain rule,derivatives rule-identification
\frac{e^{3x}}{\sqrt{x+1}},quotient rule plus chain rule,derivatives rule-identification
\frac{\ln(1+x)}{x^2+4},quotient rule plus chain rule,derivatives rule-identification
\frac{\tan(2x)}{e^x},quotient rule plus chain rule,derivatives rule-identification
\frac{(x^2+1)^3}{\sin x},quotient rule plus chain rule,derivatives rule-identification
\frac{x^2\sin x}{1+x^2},product rule plus quotient rule,derivatives rule-identification
\frac{e^x\cos x}{x},product rule plus quotient rule,derivatives rule-identification
\frac{(x+1)(x-2)}{x^2+1},product rule plus quotient rule,derivatives rule-identification
\frac{x\ln x}{\sqrt{x}},product rule plus quotient rule,derivatives rule-identification
\frac{x^2e^{x^2}}{1+\sin x},product rule plus quotient rule plus chain rule,derivatives rule-identification
x^x,logarithmic differentiation,derivatives rule-identification logarithmic-differentiation
(\sin x)^x,logarithmic differentiation,derivatives rule-identification logarithmic-differentiation
(x^2+1)^{\cos x},logarithmic differentiation,derivatives rule-identification logarithmic-differentiation
x^{\ln x},logarithmic differentiation,derivatives rule-identification logarithmic-differentiation
\frac{(x^2+1)^5\sqrt{x-1}}{e^x\cos x},logarithmic differentiation,derivatives rule-identification logarithmic-differentiation
x^2+y^2=25,implicit differentiation,derivatives rule-identification
x^3+y^3=6xy,implicit differentiation,derivatives rule-identification
\sin y+x^2y=1,implicit differentiation plus product rule,derivatives rule-identification
e^{xy}+y^2=x,implicit differentiation plus product rule and chain rule,derivatives rule-identification
\ln(x+y)=xy,implicit differentiation plus chain rule and product rule,derivatives rule-identification
\arcsin x,inverse trig derivative,derivatives rule-identification inverse-trig-derivatives
\arctan(3x),inverse trig derivative plus chain rule,derivatives rule-identification inverse-trig-derivatives
x\arccos x,product rule plus inverse trig derivative,derivatives rule-identification inverse-trig-derivatives
\operatorname{arcsec}(x^2+1),inverse trig derivative plus chain rule,derivatives rule-identification inverse-trig-derivatives
\arcsin\left(\frac{x}{2}\right),inverse trig derivative plus chain rule,derivatives rule-identification inverse-trig-derivatives
e^{x^2+x},exponential rule plus chain rule,derivatives rule-identification exponential-log
3e^{\sin x},constant multiple rule plus exponential chain rule,derivatives rule-identification exponential-log
e^{\tan x},exponential chain rule plus trig chain rule,derivatives rule-identification exponential-log
2^x,exponential derivative,derivatives rule-identification exponential-log
5^{x^2},exponential rule plus chain rule,derivatives rule-identification exponential-log
\ln(1+x^4),logarithm plus chain rule,derivatives rule-identification exponential-log
\log_2(3x+1),logarithm plus chain rule,derivatives rule-identification exponential-log
\ln|\sin x|,logarithm plus chain rule,derivatives rule-identification exponential-log
\frac{\ln x}{x^2+1},quotient rule plus logarithm rule,derivatives rule-identification exponential-log
\ln(\sqrt{x^2+1}),logarithm plus nested chain rule,derivatives rule-identification exponential-log
\sin(e^x+x^2),trig rule plus chain rule,derivatives rule-identification trig-derivatives
\cos(3x^2-1),trig rule plus chain rule,derivatives rule-identification trig-derivatives
\tan(\ln x),trig rule plus chain rule,derivatives rule-identification trig-derivatives
\sec(x^3),trig rule plus chain rule,derivatives rule-identification trig-derivatives
\csc(\sqrt{x}),trig rule plus chain rule,derivatives rule-identification trig-derivatives
