Label,Chapter,Question,Answer,Hint,Counter-example/Negation,Tags
thm:limit-function-quotient,Limits,How do you prove algebra of limits for functions?,"Use the Sequential Criterion: reduce to sequence limits, apply algebra there, then lift back.",Never do $\varepsilon$-$\delta$ directly unless required.,,LRA::Limits
prop:limit-divergence-sequential,Limits,State the divergence criteria (Bartle 4.1.9).,"(a) $\lim f \neq L$ iff $\exists (x_n)\subseteq
  A\setminus\{c\}$ with $x_n\to c$ and $f(x_n)\not\to L$.
  (b) $\lim f$ does not exist iff $\exists (x_n)\subseteq
  A\setminus\{c\}$ with $x_n\to c$ and $(f(x_n))$ diverges
  in $\mathbb{R}$.","(a) is the negation of the sequential criterion for
  a fixed $L$. (b) says no candidate $L$ works at all.
  Both are used to disprove limits by exhibiting sequences.","Two sequences suffice for (b): $x_n\to 0$ via
  $1/(2n\pi)$ gives $\sin(1/x_n)=0$; via $1/(\pi/2+2n\pi)$
  gives $\sin(1/x_n)=1$. Different limits, so no limit exists.",LRA::Limits
def:limit-divergence-types,Limits,What is the $\varepsilon$--$\delta$ definition of divergence?,"It is the negation of convergence: $\forall L\in\mathbb{R}$,
$\exists \varepsilon>0$ such that $\forall \delta>0$,
$\exists x$ with $0<|x-c|<\delta$ and $|f(x)-L|\ge\varepsilon$.","Negate: $\forall \varepsilon \exists \delta \forall x$
becomes $\exists \varepsilon \forall \delta \exists x$.","You do NOT fix $\varepsilon$ arbitrarily; you produce one
that breaks the limit.",LRA::Limits
def:vertical-asymptote,Limits,Define vertical asymptote.,"$x = x_0$ is a vertical asymptote if any one of
$\lim_{x\to x_0}f(x)$, $\lim_{x\to x_0^\pm}f(x)$ is $\pm\infty$.","Vertical asymptotes describe blow-up at a finite input.
Only one one-sided limit needs to be infinite.","Both one-sided limits need not be infinite --- one suffices.
$f(x)=1/x$ has $\lim_{x\to 0^+}=+\infty$ and $\lim_{x\to 0^-}=-\infty$,
both infinite but with opposite signs.",LRA::Limits
def:true-near-extended,Limits,What does ``$P(f(x))$ is true near $+\infty$'' mean?,There exists $A$ such that $P(f(x))$ holds for all $x > A$.,"It is the ``sufficiently large $x$'' analogue of the
punctured $\delta$-ball condition for finite $x_0$.",,LRA::Limits
def:horizontal-asymptote,Limits,Define horizontal asymptote.,"$y = y_0$ is a horizontal asymptote of $f$ if
$\lim_{x\to+\infty}f(x)=y_0$ or $\lim_{x\to-\infty}f(x)=y_0$.","Horizontal asymptotes describe end behaviour;
vertical asymptotes describe blow-up at a point.","A function can cross its horizontal asymptote.
Asymptotes describe limits, not barriers.",LRA::Limits
def:indeterminate-forms,Limits,Name the seven indeterminate forms.,"$0/0$, $\infty/\infty$, $0\cdot\infty$, $\infty-\infty$,
$0^0$, $1^\infty$, $\infty^0$.","The exponential forms ($0^0$, $1^\infty$, $\infty^0$) are
handled by writing $f^g = e^{g\ln f}$ and reducing to $0\cdot\infty$.","$0/\infty = 0$ is NOT indeterminate. $\infty/0 = \infty$
is not indeterminate (assuming $f/g>0$ near $x_0$). Only the seven
listed forms are genuinely indeterminate.",LRA::Limits
thm:algebra-of-infinite-limits,Limits,"What is $\lim(f/g)$ when $\lim f \in \mathbb{R}$ and
$\lim g = \pm\infty$?",$0$. Finite divided by infinite goes to zero.,"$f$ is bounded near $x_0$; $g$ grows without bound;
the ratio is squeezed to $0$.","$\infty/\infty$ is indeterminate --- this case is NOT
covered by the theorem. Only finite$/\infty = 0$ is determined.",LRA::Limits
def:limsup-liminf-function,Limits,Define $\limsup_{x\to x_0} f(x)$.,"$\inf_{\delta>0}\sup\{f(x) : 0 < |x-x_0| < \delta\}$.
The infimum of suprema over shrinking punctured balls.","Shrink the ball: the supremum can only decrease or
stay the same. The infimum of a decreasing quantity is its limit.","$\limsup \neq \sup f$ globally. $\limsup$ is local:
it concerns only what $f$ does near $x_0$, not everywhere.",LRA::Limits
def:eps-close-function,Limits,Define: $f : X \to \mathbb{R}$ is $\varepsilon$-close to $L$.,"$|f(x) - L| \leq \varepsilon$ for all $x \in X$.
  Every output is within $\varepsilon$ of $L$. Global condition.","Tao scaffolding only. Not used by Bartle or Lebl.
  Contrast with $\delta$-closeness which is local.",,LRA::Limits
