Front,Back,Tags
"\int x^5\,dx",power rule integration,integral-identification rule-identification
"\int (3x^2-4x+1)\,dx",constant multiple and sum rules,integral-identification rule-identification
"\int \sqrt{x}\,dx",power rule integration,integral-identification rule-identification
"\int \frac{1}{x^3}\,dx",power rule integration,integral-identification rule-identification
"\int (e^x+\cos x)\,dx",sum rule plus elementary antiderivatives,integral-identification rule-identification
"\int x e^{x^2}\,dx",substitution,integral-identification rule-identification
"\int 2x\cos(x^2)\,dx",substitution,integral-identification rule-identification
"\int \frac{x}{1+x^2}\,dx",substitution plus logarithmic pattern,integral-identification rule-identification
"\int \sin(3x+1)\,dx",substitution,integral-identification rule-identification
"\int e^{5x-2}\,dx",exponential substitution,integral-identification rule-identification
"\int x\cos x\,dx",integration by parts,integral-identification rule-identification
"\int x e^x\,dx",integration by parts,integral-identification rule-identification
"\int \ln x\,dx",integration by parts,integral-identification rule-identification
"\int x^2\sin x\,dx",integration by parts repeated,integral-identification rule-identification
"\int x^3 e^x\,dx",integration by parts tabular pattern,integral-identification rule-identification
"\int e^x\sin x\,dx",integration by parts repeated,integral-identification rule-identification
"\int e^x\cos x\,dx",integration by parts repeated,integral-identification rule-identification
"\int x^2 e^{3x}\,dx",integration by parts tabular pattern,integral-identification rule-identification
"\int \sin^2 x\,dx",trig identities,integral-identification rule-identification
"\int \cos^2 x\,dx",trig identities,integral-identification rule-identification
"\int \sin x\cos x\,dx",substitution or trig identity,integral-identification rule-identification
"\int \tan^2 x\,dx",trig identities,integral-identification rule-identification
"\int \sec^2 x\tan x\,dx",substitution,integral-identification rule-identification
"\int \sin^3 x\,dx",trig identities plus substitution,integral-identification rule-identification
"\int \cos^3 x\,dx",trig identities plus substitution,integral-identification rule-identification
"\int \sin^2 x\cos^3 x\,dx",trig identities plus substitution,integral-identification rule-identification
"\int \sqrt{a^2-x^2}\,dx",trig substitution,integral-identification rule-identification
"\int \frac{1}{\sqrt{a^2-x^2}}\,dx",inverse trig pattern or trig substitution,integral-identification rule-identification
"\int \sqrt{x^2+a^2}\,dx",trig substitution,integral-identification rule-identification
"\int \frac{1}{x^2+a^2}\,dx",inverse trig pattern,integral-identification rule-identification
"\int \frac{1}{\sqrt{x^2-a^2}}\,dx",trig substitution,integral-identification rule-identification
"\int \frac{1}{1+x^2}\,dx",inverse trig pattern,integral-identification rule-identification
"\int \frac{1}{\sqrt{1-x^2}}\,dx",inverse trig pattern,integral-identification rule-identification
"\int \frac{1}{4+x^2}\,dx",inverse trig pattern,integral-identification rule-identification
"\int \frac{1}{9+x^2}\,dx",inverse trig pattern,integral-identification rule-identification
"\int \frac{1}{x^2-1}\,dx",partial fractions,integral-identification rule-identification
"\int \frac{x+3}{x^2-4}\,dx",partial fractions,integral-identification rule-identification
"\int \frac{2x+1}{x^2+x-2}\,dx",rational function decomposition,integral-identification rule-identification
"\int \frac{x^2+1}{x^3-x}\,dx",partial fractions,integral-identification rule-identification
"\int \frac{1}{x(x+1)^2}\,dx",partial fractions with repeated factor,integral-identification rule-identification
"\int \frac{x+1}{x^2+2x+5}\,dx",completing the square plus logarithmic pattern,integral-identification rule-identification
"\int \frac{1}{x^2+2x+5}\,dx",completing the square plus inverse trig pattern,integral-identification rule-identification
"\int \frac{x}{x^2+4x+8}\,dx",completing the square plus decomposition of numerator,integral-identification rule-identification
"\int \frac{1}{x^2-4x+13}\,dx",completing the square plus inverse trig pattern,integral-identification rule-identification
"\int \frac{2x+3}{x^2+3x+2}\,dx",rational function decomposition,integral-identification rule-identification
"\int \frac{f'(x)}{f(x)}\,dx",logarithmic pattern,integral-identification rule-identification
"\int \frac{3x^2}{x^3+1}\,dx",logarithmic pattern by substitution,integral-identification rule-identification
"\int \frac{\cos x}{\sin x}\,dx",logarithmic pattern by substitution,integral-identification rule-identification
"\int \frac{1}{x}\,dx",logarithmic pattern,integral-identification rule-identification
"\int \frac{2x+1}{x^2+x+7}\,dx",logarithmic pattern,integral-identification rule-identification
"\int_1^\infty \frac{1}{x^2}\,dx",improper integral recognition,integral-identification rule-identification
"\int_0^1 \frac{1}{\sqrt{x}}\,dx",improper integral recognition,integral-identification rule-identification
"\int_0^\infty e^{-x}\,dx",improper integral recognition,integral-identification rule-identification
"\int_{-\infty}^{\infty} e^{-x^2}\,dx",improper integral recognition,integral-identification rule-identification
"\int_0^1 \frac{1}{1-x}\,dx",improper integral recognition,integral-identification rule-identification
"\int \frac{e^x}{1+e^x}\,dx",exponential substitution plus logarithmic pattern,integral-identification rule-identification
"\int x e^{x^2+1}\,dx",exponential substitution,integral-identification rule-identification
"\int e^{2x}\sin(e^x)\,dx",exponential substitution,integral-identification rule-identification
"\int \frac{e^x}{\sqrt{1-e^{2x}}}\,dx",exponential substitution plus inverse trig pattern,integral-identification rule-identification
"\int \frac{x^2+2x+1}{x^2-1}\,dx",rational function decomposition,integral-identification rule-identification
"\int \frac{x^3}{x^2+1}\,dx",rational function decomposition,integral-identification rule-identification
"\int \frac{x^4+1}{x^2+1}\,dx",rational function decomposition,integral-identification rule-identification
"\int \frac{1}{x^2(x-1)}\,dx",partial fractions with repeated factor,integral-identification rule-identification
"\int \frac{x}{\sqrt{x^2+9}}\,dx",substitution,integral-identification rule-identification
