Label,Chapter,Question,Answer,Hint,Counter-example/Negation,Tags
prop:monotone-approx-bounds,Sequences,State Monotone Approximation of Bounds.,"For nonempty bounded $S$: there exist monotone sequences $(x_n),(y_n)\subseteq S$ with $x_n\to\sup S$, $y_n\to\inf S$.",,,LRA::Sequences
thm:MCT,Sequences,State the Monotone Convergence Theorem.,Every bounded monotone sequence converges.,Increasing bounded: converges to $\sup\{x_n\}$. Decreasing bounded below: converges to $\inf\{x_n\}$.,,LRA::Sequences
thm:LUB-iff-MCT,Sequences,State LUB $\Leftrightarrow$ MCT.,TFAE: (i) LUB property; (ii) bounded monotone sequences converge.,,,LRA::Sequences
thm:order-limit-theorem,Sequences,State the Order Limit Theorem.,"If $x_n\le y_n$ for all $n$ and $x_n\to x$, $y_n\to y$, then $x\le y$.","If $x>y$, take $\varepsilon=(x-y)/2$; eventually $x_n>y_n$, contradiction.",Strict inequality $x_n<y_n$ does NOT force $x<y$: $(0)\to 0$ and $(1/n)\to 0$.,LRA::Sequences
thm:squeeze-theorem,Sequences,State the Squeeze Theorem.,"If $x_n\le y_n\le z_n$ for all $n$ and $x_n\to L$, $z_n\to L$, then $y_n\to L$.",For $\varepsilon>0$: eventually $L-\varepsilon<x_n\le y_n\le z_n<L+\varepsilon$.,,LRA::Sequences
thm:algebra-of-limits,Sequences,State the Algebra of Limits.,If $x_n\to x$ and $y_n\to y$: $x_n+y_n\to x+y$; $x_n-y_n\to x-y$; $cx_n\to cx$; $x_ny_n\to xy$; if $y\neq 0$ then $x_n/y_n\to x/y$.,Each rule follows from the $\varepsilon$-$N$ definition; products use the rectangle decomposition.,,LRA::Sequences
cor:limit-respects-upper-bounds,Sequences,State: limits respect upper bounds.,"If $x_n\le b$ for all $n$ and $x_n\to x$, then $x\le b$.",Apply OLT with $y_n=b$.,,LRA::Sequences
cor:conv-times-bounded,Sequences,State: convergent times bounded is bounded.,If $(x_n)\to x$ and $(y_n)$ is bounded then $(x_ny_n)$ is bounded.,$(x_n)$ is bounded (convergent $\Rightarrow$ bounded); product of bounded sequences is bounded.,,LRA::Sequences
prop:limit-polynomial-sequence,Sequences,"If $x_n \to x$ and $p$ is a polynomial, does $p(x_n) \to p(x)$?",Yes. $x_n \to x \Rightarrow p(x_n) \to p(x)$ for any polynomial $p$.,Induction on degree using the Algebra of Limits: sum and product rules handle each term.,,LRA::Sequences
thm:convergent-implies-cauchy,Sequences,State: convergent implies Cauchy.,If $(a_n)$ converges then $(a_n)$ is Cauchy.,,,LRA::Sequences
cor:convergent-series-cauchy-partial-sums,Sequences,State: convergent series have Cauchy partial sums.,"If $\sum a_n$ converges and $s_n=\sum_{k=1}^n a_k$, then $(s_n)$ is Cauchy.",,,LRA::Sequences
thm:cauchy-bounded,Sequences,State: Cauchy sequences are bounded.,Every Cauchy sequence is bounded.,,,LRA::Sequences
thm:bolzano-weierstrass,Sequences,State Bolzano--Weierstrass.,Every bounded sequence in $\mathbb{R}$ has a convergent subsequence.,,,LRA::Sequences
thm:cauchy-subseq-limit,Sequences,State: Cauchy with convergent subsequence converges.,If $(a_n)$ Cauchy and $(a_{n_k})\to L$ then $a_n\to L$.,,,LRA::Sequences
thm:algebra-cauchy,Sequences,State the Algebra of Cauchy Sequences.,"If $(a_n),(b_n)$ are Cauchy and $c\in\mathbb{R}$: $(a_n+b_n)$, $(a_n-b_n)$, $(ca_n)$, $(a_nb_n)$ are all Cauchy.",,,LRA::Sequences
thm:linear-comb-cauchy,Sequences,State: linear combinations of Cauchy sequences are Cauchy.,"If $(a_n),(b_n)$ are Cauchy and $\alpha,\beta\in\mathbb{R}$ then $(\alpha a_n+\beta b_n)$ is Cauchy.",,,LRA::Sequences
thm:cauchy-divergence,Sequences,State the Cauchy Divergence Criterion.,"$(a_n)$ diverges if $\exists\varepsilon_0>0$ such that $\forall N\,\exists m,n\ge N:|a_m-a_n|\ge\varepsilon_0$.",Negation of the Cauchy condition; useful to prove divergence.,,LRA::Sequences
thm:contractive-converges,Sequences,Does every contractive sequence converge?,Every contractive sequence (where $|x_{n+1} - x_n| \leq c|x_n - x_{n-1}|$ for some $c < 1$) converges.,Contractive sequences are rapidly Cauchy (after rescaling); apply the rapidly Cauchy $\Rightarrow$ Cauchy $\Rightarrow$ convergent chain.,,LRA::Sequences
